,Name,Test1,Test2,Test3,Final,Grade,Avg
0,Aloysius,40.0,90.0,100.0,83.0,"  ""D-""",313.0
1,University,41.0,97.0,96.0,48.0,"   ""D+""",282.0
2,Gramma,41.0,80.0,60.0,44.0,"   ""C""",225.0
3,Electric,42.0,23.0,36.0,47.0,"   ""B-""",148.0
4,Fred,43.0,78.0,88.0,45.0,"   ""A-""",254.0
5,Betty,44.0,90.0,80.0,46.0,"   ""C-""",260.0
6,Cecil,45.0,11.0,-1.0,43.0,"   ""F""",98.0
7,Bif,46.0,20.0,30.0,50.0,"   ""B+""",146.0
8,Andrew,49.0,1.0,90.0,83.0,"   ""A""",223.0
9,Jim,48.0,1.0,97.0,97.0,"   ""A+""",243.0
10,Art,44.0,1.0,80.0,40.0,"   ""D+""",165.0
11,Jim,47.0,1.0,23.0,45.0,"   ""C+""",116.0
12,Ima,45.0,1.0,78.0,77.0,"   ""B-""",201.0
13,Benny,50.0,1.0,90.0,90.0,"   ""B-""",231.0
14,Boy,40.0,1.0,11.0,4.0,"   ""B""",56.0
15,Harvey,30.0,1.0,20.0,40.0,"   ""C""",91.0
